Store,Date, Weekly_Sales ,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05/02/2010," $1,643,690.90 ",0,42.3,2.572,211.0964,8.106
1,12/02/2010," $1,641,957.44 ",1,38.5,2.548,211.2422,8.106
1,19/02/2010," $1,611,968.17 ",0,39.9,2.514,211.2891,8.106
1,26/02/2010," $1,409,727.59 ",0,46.6,2.561,211.3196,8.106
1,05/03/2010," $1,554,806.68 ",0,46.5,2.625,211.3501,8.106
1,12/03/2010," $1,439,541.59 ",0,57.8,2.667,211.3806,8.106
1,19/03/2010," $1,472,515.79 ",0,54.6,2.720,211.2156,8.106
1,26/03/2010," $1,404,429.92 ",0,51.5,2.732,211.0180,8.106
1,02/04/2010," $1,594,968.28 ",0,62.3,2.719,210.8204,7.808
1,09/04/2010," $1,545,418.53 ",0,65.9,2.770,210.6229,7.808
1,16/04/2010," $1,466,058.28 ",0,66.3,2.808,210.4887,7.808
1,23/04/2010," $1,391,256.12 ",0,64.8,2.795,210.4391,7.808
1,30/04/2010," $1,425,100.71 ",0,67.4,2.780,210.3895,7.808
1,07/05/2010," $1,603,955.12 ",0,72.6,2.835,210.3400,7.808
1,14/05/2010," $1,494,251.50 ",0,74.8,2.854,210.3374,7.808
1,21/05/2010," $1,399,662.07 ",0,76.4,2.826,210.6171,7.808
1,28/05/2010," $1,432,069.95 ",0,80.4,2.759,210.8968,7.808
1,04/06/2010," $1,615,524.71 ",0,80.7,2.705,211.1764,7.808
1,11/06/2010," $1,542,561.09 ",0,80.4,2.668,211.4561,7.808
1,18/06/2010," $1,503,284.06 ",0,84.1,2.637,211.4538,7.808
1,25/06/2010," $1,422,711.60 ",0,84.3,2.653,211.3387,7.808
1,02/07/2010," $1,492,418.14 ",0,80.9,2.669,211.2235,7.787
1,09/07/2010," $1,546,074.18 ",0,80.5,2.642,211.1084,7.787
1,16/07/2010," $1,448,938.92 ",0,83.2,2.623,211.1004,7.787
1,23/07/2010," $1,385,065.20 ",0,83.4,2.608,211.2351,7.787
1,30/07/2010," $1,371,986.60 ",0,81.8,2.640,211.3699,7.787
1,06/08/2010," $1,605,491.78 ",0,87.2,2.627,211.5047,7.787
1,13/08/2010," $1,508,237.76 ",0,87.0,2.692,211.6394,7.787
1,20/08/2010," $1,513,080.49 ",0,86.7,2.664,211.6034,7.787
1,27/08/2010," $1,449,142.92 ",0,85.2,2.619,211.5673,7.787
1,03/09/2010," $1,540,163.53 ",0,81.2,2.577,211.5312,7.787
1,10/09/2010," $1,507,460.69 ",1,78.7,2.565,211.4952,7.787
1,17/09/2010," $1,430,378.67 ",0,82.1,2.582,211.5225,7.787
1,24/09/2010," $1,351,791.03 ",0,80.9,2.624,211.5972,7.787
1,01/10/2010," $1,453,329.50 ",0,71.9,2.603,211.6720,7.838
1,08/10/2010," $1,508,239.93 ",0,63.9,2.633,211.7468,7.838
1,15/10/2010," $1,459,409.10 ",0,67.2,2.720,211.8137,7.838
1,22/10/2010," $1,345,454.00 ",0,69.9,2.725,211.8613,7.838
1,29/10/2010," $1,384,209.22 ",0,69.6,2.716,211.9088,7.838
1,05/11/2010," $1,551,659.28 ",0,58.7,2.689,211.9564,7.838
1,12/11/2010," $1,494,479.49 ",0,59.6,2.728,212.0039,7.838
1,19/11/2010," $1,483,784.18 ",0,51.4,2.771,211.8897,7.838
1,26/11/2010," $1,955,624.11 ",1,64.5,2.735,211.7484,7.838
1,03/12/2010," $1,548,033.78 ",0,49.3,2.708,211.6072,7.838
1,10/12/2010," $1,682,614.26 ",0,46.3,2.843,211.4660,7.838
1,17/12/2010," $1,891,034.93 ",0,49.8,2.869,211.4053,7.838
1,24/12/2010," $2,387,950.20 ",0,52.3,2.886,211.4051,7.838
1,31/12/2010," $1,367,320.01 ",1,48.4,2.943,211.4049,7.838
1,07/01/2011," $1,444,732.28 ",0,48.3,2.976,211.4047,7.742
1,14/01/2011," $1,391,013.96 ",0,35.4,2.983,211.4574,7.742
1,21/01/2011," $1,327,405.42 ",0,44.0,3.016,211.8272,7.742
1,28/01/2011," $1,316,899.31 ",0,43.8,3.010,212.1971,7.742
